,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_layer_size,params_lr,params_lr_decay_rate,params_weight_decay,state
29,29,-0.10970093408718647,2020-08-27 09:22:38.813581,2020-08-27 09:26:10.820165,0 days 00:03:32.006584000,384.0,64.0,1,0.003851647714700602,0.7651191175445344,2.5713468866828025e-06,COMPLETE
30,30,-0.07542619059602815,2020-08-27 09:26:10.820669,2020-08-27 09:29:42.960788,0 days 00:03:32.140119000,384.0,64.0,1,0.0034750093825896915,0.912297076762973,2.62499887439352e-05,COMPLETE
31,31,-0.10602737517217181,2020-08-27 09:29:42.961290,2020-08-27 09:33:12.410057,0 days 00:03:29.448767000,384.0,80.0,1,0.004143648129141035,0.7389768226096586,2.4505481926602855e-06,COMPLETE
32,32,-0.10542352150404141,2020-08-27 09:33:12.410565,2020-08-27 09:38:16.298046,0 days 00:05:03.887481000,256.0,64.0,1,0.005344968237615291,0.7581516933565577,2.0418336350299454e-06,COMPLETE
33,33,-0.10503170317667174,2020-08-27 09:38:16.298548,2020-08-27 09:43:20.382942,0 days 00:05:04.084394000,256.0,48.0,1,0.0022297317932761973,0.7828238892296563,4.920460457171113e-06,COMPLETE
34,34,-0.11047211482107072,2020-08-27 09:43:20.383452,2020-08-27 09:46:06.229518,0 days 00:02:45.846066000,512.0,80.0,1,0.0029125600339535164,0.7125172339202452,8.606567674606826e-06,COMPLETE
35,35,-0.1017879844093826,2020-08-27 09:46:06.230053,2020-08-27 09:48:52.278698,0 days 00:02:46.048645000,512.0,64.0,1,0.0018276717197806863,0.7148643642613834,9.506940860545196e-06,COMPLETE
36,36,-0.006510741564546693,2020-08-27 09:48:52.279218,2020-08-27 09:51:40.624264,0 days 00:02:48.345046000,512.0,96.0,1,0.0030942264866703224,0.7818536891246463,0.00022329701549022573,COMPLETE
37,37,-0.11517195380337432,2020-08-27 09:51:40.624818,2020-08-27 09:54:26.588609,0 days 00:02:45.963791000,512.0,32.0,1,0.006820904268701607,0.8628285681782094,6.790040345098538e-06,COMPLETE
38,38,-0.09314866066611793,2020-08-27 09:54:26.589126,2020-08-27 09:57:12.428455,0 days 00:02:45.839329000,512.0,32.0,1,0.0071882278051705085,0.9599354514903919,1.8620288604323607e-05,COMPLETE
39,39,-0.07108316419892663,2020-08-27 09:57:12.428982,2020-08-27 10:00:00.031912,0 days 00:02:47.602930000,512.0,16.0,1,0.009769843452287354,0.8518097041363737,5.170340982187695e-05,COMPLETE
40,40,-0.10491254686292963,2020-08-27 10:00:00.032433,2020-08-27 10:02:44.573674,0 days 00:02:44.541241000,512.0,32.0,1,0.006678486888111819,0.7871014714058413,7.1695522435718095e-06,COMPLETE
41,41,-0.11288142149313676,2020-08-27 10:02:44.574189,2020-08-27 10:06:15.340043,0 days 00:03:30.765854000,384.0,48.0,1,0.004849437582093215,0.9193564831504742,1.6779419001356758e-06,COMPLETE
42,42,-0.10866561036953683,2020-08-27 10:06:15.340547,2020-08-27 10:09:45.324756,0 days 00:03:29.984209000,384.0,48.0,1,0.0062261919091581245,0.9164377639653786,3.9885410578421254e-06,COMPLETE
43,43,-0.09320248572690935,2020-08-27 10:09:45.325285,2020-08-27 10:13:16.725123,0 days 00:03:31.399838000,384.0,48.0,1,0.004865705543617569,0.8792752456975551,1.2982702553475711e-05,COMPLETE
44,44,-0.10217354168499984,2020-08-27 10:13:16.725620,2020-08-27 10:16:46.528269,0 days 00:03:29.802649000,384.0,32.0,1,0.008548816917220271,0.9576831900788234,1.6040127983273775e-06,COMPLETE
45,45,-0.07906727338955608,2020-08-27 10:16:46.528815,2020-08-27 10:20:17.191295,0 days 00:03:30.662480000,384.0,16.0,1,0.0024875809380072696,0.7110486296954425,8.220745700194894e-06,COMPLETE
46,46,-0.10929142010534287,2020-08-27 10:20:17.191799,2020-08-27 10:23:03.448563,0 days 00:02:46.256764000,512.0,48.0,1,0.0034882836282431056,0.94584683780608,1.638278263988832e-06,COMPLETE
47,47,-0.1092724697984755,2020-08-27 10:23:03.449067,2020-08-27 10:25:52.042882,0 days 00:02:48.593815000,512.0,48.0,1,0.003524130864249163,0.9857509795340569,1.6384809677962465e-06,COMPLETE
48,48,-0.040353980807919375,2020-08-27 10:25:52.043396,2020-08-27 10:28:43.311406,0 days 00:02:51.268010000,512.0,64.0,1,0.0050590125446686954,0.9624377313367593,7.347129527630139e-05,COMPLETE
49,49,-0.11528992186968849,2020-08-27 10:28:43.311913,2020-08-27 10:31:29.620898,0 days 00:02:46.308985000,512.0,48.0,1,0.008106654245556462,0.8780068008520668,5.205396365471841e-06,COMPLETE
