,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_layer_size,params_lr,params_lr_decay_rate,params_weight_decay,state
25,25,-0.09174003399766212,2020-09-03 11:20:58.365623,2020-09-03 11:22:42.574440,0 days 00:01:44.208817000,512.0,80.0,3,0.006704824148489644,0.815093389071565,1.0097438307354965e-06,COMPLETE
26,26,-0.0918111731825419,2020-09-03 11:22:42.574889,2020-09-03 11:24:17.734972,0 days 00:01:35.160083000,384.0,112.0,2,0.0036136591243146007,0.6185313759374852,1.75464139778383e-05,COMPLETE
27,27,-0.13632977261185442,2020-09-03 11:24:17.735420,2020-09-03 11:26:04.884065,0 days 00:01:47.148645000,512.0,128.0,3,0.0010686672132222035,0.7245304591206585,2.1011908675994604e-06,COMPLETE
28,28,-0.1339017238745751,2020-09-03 11:26:04.884524,2020-09-03 11:27:55.357780,0 days 00:01:50.473256000,512.0,128.0,3,0.0008617682353575599,0.7912820626043445,1.7414537554406774e-06,COMPLETE
29,29,-0.017852579798386434,2020-09-03 11:27:55.358234,2020-09-03 11:29:46.597155,0 days 00:01:51.238921000,384.0,128.0,3,0.0007789533040274069,0.7950930989363265,3.5928755554726286e-05,COMPLETE
30,30,-0.13528798670945757,2020-09-03 11:29:46.597603,2020-09-03 11:31:33.026206,0 days 00:01:46.428603000,512.0,128.0,3,0.001186369721432604,0.7739109034000667,2.4212681569324906e-06,COMPLETE
31,31,-0.12420403289754882,2020-09-03 11:31:33.026809,2020-09-03 11:33:20.960262,0 days 00:01:47.933453000,512.0,128.0,3,0.0011654231948338607,0.7270309715083436,2.2629823034263045e-06,COMPLETE
32,32,-0.12282956779869134,2020-09-03 11:33:20.960721,2020-09-03 11:35:13.549969,0 days 00:01:52.589248000,512.0,128.0,3,0.0005237896252473688,0.7811070797335976,1.7112909852570625e-06,COMPLETE
33,33,-0.06934536064376633,2020-09-03 11:35:13.550455,2020-09-03 11:37:04.323505,0 days 00:01:50.773050000,256.0,128.0,3,0.0008505222926093428,0.7432863023943164,4.237536569102649e-06,COMPLETE
34,34,-0.10404195687102696,2020-09-03 11:37:04.323957,2020-09-03 11:38:53.922357,0 days 00:01:49.598400000,512.0,112.0,3,0.0005134689359105937,0.8360862582030021,1.917364826637041e-06,COMPLETE
35,35,-0.07731922558051285,2020-09-03 11:38:53.922807,2020-09-03 11:40:40.211040,0 days 00:01:46.288233000,512.0,112.0,3,0.001620468668339609,0.8550661727591684,1.142836360473059e-05,COMPLETE
36,36,-0.09144223094529735,2020-09-03 11:40:40.211491,2020-09-03 11:42:34.749395,0 days 00:01:54.537904000,384.0,128.0,3,0.00031402735030141096,0.7760120778995525,1.002422983585245e-06,COMPLETE
37,37,-0.0021559673919075784,2020-09-03 11:42:34.749849,2020-09-03 11:44:31.047430,0 days 00:01:56.297581000,512.0,128.0,3,0.0011020445703181733,0.7705007457217962,0.0009459818034644869,COMPLETE
38,38,-0.10864779800492771,2020-09-03 11:44:31.047891,2020-09-03 11:46:27.083261,0 days 00:01:56.035370000,256.0,112.0,3,0.0006367704691682413,0.701347565539524,2.35568029751522e-06,COMPLETE
39,39,-0.005243397313445414,2020-09-03 11:46:27.083725,2020-09-03 11:48:16.772503,0 days 00:01:49.688778000,384.0,16.0,3,0.000361957407471328,0.7404452277618677,3.9405114482263245e-06,COMPLETE
40,40,-0.11322478969679022,2020-09-03 11:48:16.772996,2020-09-03 11:50:02.167245,0 days 00:01:45.394249000,512.0,112.0,3,0.0019205897902559077,0.9230304202922736,7.928891059437029e-06,COMPLETE
41,41,-0.13005175468047475,2020-09-03 11:50:02.167719,2020-09-03 11:51:50.134827,0 days 00:01:47.967108000,512.0,128.0,3,0.0011355300352417779,0.7290552673652972,1.978322885745255e-06,COMPLETE
42,42,-0.13808018384150889,2020-09-03 11:51:50.135295,2020-09-03 11:53:38.238030,0 days 00:01:48.102735000,512.0,128.0,3,0.0013686563331086188,0.7470780973501171,1.7202154278190968e-06,COMPLETE
43,43,-0.13030268668331416,2020-09-03 11:53:38.238487,2020-09-03 11:55:22.873656,0 days 00:01:44.635169000,512.0,128.0,3,0.001324995842946501,0.8037259459183849,1.801785612054942e-06,COMPLETE
44,44,-0.11305198772642044,2020-09-03 11:55:22.874109,2020-09-03 11:57:08.881554,0 days 00:01:46.007445000,512.0,128.0,3,0.0008801042951888604,0.8055271527394627,1.7117092473169276e-06,COMPLETE
45,45,-0.04195511419400828,2020-09-03 11:57:08.882012,2020-09-03 11:58:57.694533,0 days 00:01:48.812521000,512.0,32.0,3,0.001474662723969202,0.8642310640517546,4.84165732075184e-06,COMPLETE
46,46,-0.13269445745268127,2020-09-03 11:58:57.694993,2020-09-03 12:00:44.045683,0 days 00:01:46.350690000,512.0,112.0,3,0.002670278098620749,0.836457699364012,2.778940051946643e-06,COMPLETE
47,47,-0.04459689118262084,2020-09-03 12:00:44.046144,2020-09-03 12:02:33.211548,0 days 00:01:49.165404000,384.0,112.0,3,0.0021323018533429493,0.7591148000299898,2.1034987518664273e-05,COMPLETE
48,48,-0.07480866497476363,2020-09-03 12:02:33.212030,2020-09-03 12:04:21.605714,0 days 00:01:48.393684000,512.0,128.0,1,0.002769128361740811,0.8339594486514151,9.10973177997123e-06,COMPLETE
49,49,-0.012314348565291471,2020-09-03 12:04:21.606180,2020-09-03 12:07:04.077104,0 days 00:02:42.470924000,512.0,112.0,3,0.0006760828118429623,0.9127165584644498,5.1916582412704905e-05,COMPLETE
