,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
26,26,-0.13840183110507803,2020-08-07 15:31:09.483988,2020-08-07 15:36:54.191258,0 days 00:05:44.707270000,256,128.0,0.0012724045859646672,0.7095155798091157,77,8.073248686208067e-05,COMPLETE
27,27,-0.13904730078637514,2020-08-07 15:36:54.191752,2020-08-07 15:42:03.945563,0 days 00:05:09.753811000,384,96.0,0.005244252803412489,0.5766853875557801,68,0.0002106361957707869,COMPLETE
28,28,-0.02359397916193264,2020-08-07 15:42:03.946254,2020-08-07 15:47:32.360724,0 days 00:05:28.414470000,256,64.0,0.0028960545852013807,0.7723091230033732,48,0.0006972915311627574,COMPLETE
29,29,-0.1473599062599144,2020-08-07 15:47:32.361208,2020-08-07 15:52:31.438225,0 days 00:04:59.077017000,128,112.0,0.007432094597632777,0.6282565623318281,53,4.8943353175267205e-05,COMPLETE
30,30,-0.1394495552183526,2020-08-07 15:52:31.438715,2020-08-07 15:58:00.787152,0 days 00:05:29.348437000,128,128.0,0.0072918943612484246,0.6796250123591523,52,3.1324697781673283e-06,COMPLETE
31,31,-0.14090074152645976,2020-08-07 15:58:00.787659,2020-08-07 16:03:17.522133,0 days 00:05:16.734474000,128,112.0,0.004262464858795906,0.6353115272952686,66,6.263372401938788e-05,COMPLETE
32,32,-0.14639132785302567,2020-08-07 16:03:17.522628,2020-08-07 16:08:38.307903,0 days 00:05:20.785275000,256,112.0,0.00647350770790689,0.539987837148258,61,3.683081409544065e-05,COMPLETE
33,33,-0.13464311606141663,2020-08-07 16:08:38.308399,2020-08-07 16:13:42.145663,0 days 00:05:03.837264000,128,96.0,0.008472267022867174,0.610877522491115,44,1.663494116581338e-05,COMPLETE
34,34,-0.10957596168269385,2020-08-07 16:13:42.146148,2020-08-07 16:18:48.326856,0 days 00:05:06.180708000,256,112.0,0.004892745854513299,0.5883357008073993,78,0.00027092923445501226,COMPLETE
35,35,-0.1488388836035463,2020-08-07 16:18:48.327351,2020-08-07 16:23:55.770481,0 days 00:05:07.443130000,384,80.0,0.009735110797538,0.5157597170309114,40,5.123563405988898e-05,COMPLETE
36,36,-0.14726761427517715,2020-08-07 16:23:55.770971,2020-08-07 16:28:47.262646,0 days 00:04:51.491675000,512,80.0,0.009379224662950022,0.51261112767875,37,4.854579774129266e-05,COMPLETE
37,37,-0.1300140188606875,2020-08-07 16:28:47.263151,2020-08-07 16:34:19.579135,0 days 00:05:32.315984000,384,32.0,0.006635353001995465,0.5036860563821409,37,1.1306953078419659e-05,COMPLETE
38,38,-0.1421409725000775,2020-08-07 16:34:19.579627,2020-08-07 16:39:05.607167,0 days 00:04:46.027540000,384,96.0,0.009849551935527997,0.7234962586787749,61,2.5658811307564086e-05,COMPLETE
39,39,-0.037750414458579934,2020-08-07 16:39:05.607666,2020-08-07 16:44:46.573839,0 days 00:05:40.966173000,512,80.0,0.000827672282437863,0.5344863226630854,49,5.450443374719129e-05,COMPLETE
40,40,-0.13788394678843008,2020-08-07 16:44:46.574332,2020-08-07 16:49:47.471834,0 days 00:05:00.897502000,384,64.0,0.009967566973514275,0.9019399781569044,39,2.6251094145320147e-06,COMPLETE
41,41,-0.14746276460232305,2020-08-07 16:49:47.472499,2020-08-07 16:55:00.410835,0 days 00:05:12.938336000,512,80.0,0.009950191298031267,0.5036963776286705,31,4.5834125864355256e-05,COMPLETE
42,42,-0.1468591031311937,2020-08-07 16:55:00.411361,2020-08-07 17:00:08.514855,0 days 00:05:08.103494000,512,96.0,0.006189422588713347,0.5464874626113471,23,0.00015248533705708702,COMPLETE
43,43,-0.14587794544714744,2020-08-07 17:00:08.515348,2020-08-07 17:05:28.782929,0 days 00:05:20.267581000,512,80.0,0.008130443761877508,0.6119697297483104,32,3.0656493409793125e-05,COMPLETE
44,44,-0.15123400133029352,2020-08-07 17:05:28.783434,2020-08-07 17:10:29.366630,0 days 00:05:00.583196000,512,48.0,0.004526788471915141,0.5089251132838022,18,8.951940031093907e-05,COMPLETE
45,45,-0.1165567456170351,2020-08-07 17:10:29.367133,2020-08-07 17:15:31.007669,0 days 00:05:01.640536000,512,48.0,0.004522268901372769,0.5003793993004578,10,8.618774184117862e-05,COMPLETE
46,46,-0.140708671353232,2020-08-07 17:15:31.008166,2020-08-07 17:20:42.772003,0 days 00:05:11.763837000,512,32.0,0.0031563391435959405,0.5256582703204027,18,0.00016327319022360498,COMPLETE
47,47,-0.08039910867772243,2020-08-07 17:20:42.772505,2020-08-07 17:25:56.521201,0 days 00:05:13.748696000,512,32.0,0.002729239409825035,0.5264610140037363,17,0.00036983320853308535,COMPLETE
48,48,-0.14140568619397376,2020-08-07 17:25:56.521699,2020-08-07 17:31:12.115936,0 days 00:05:15.594237000,512,64.0,0.002243035082217572,0.5639031207077739,29,7.136958030748593e-05,COMPLETE
49,49,-0.034005510924373566,2020-08-07 17:31:12.116434,2020-08-07 17:36:27.156536,0 days 00:05:15.040102000,384,48.0,0.0015598522918766984,0.5001122425315673,22,2.040566760699322e-05,COMPLETE
